lnBtsId,SiteName,SiteNameCV,營運處,營運中心,基維股,縣市,鄉鎮,operationalState_BTS,nCo_lnBtsId,lnBtsIdLL_Sec,lnBtsIdLL_NameChs,Co-Site,bts_Config,eNBType,actLteNrDualConnectivity,nrBtsId,nrFreqBand,operationalState_nrBts,nrSecId,nrSecPCI,lnSecIdBts,lnSecPCI,lnSecBts_Count,AnchorBand,enDcDMeas_freqBandIndicatorNr,enDcDMeas_b1ThresholdNrRsrp,freqLayListEndcHo,rfSharingEnabled,sharedRfTechnologies,Sys_Module,Sub-Module,RF_Module,Coverage Objective,sw_Version,swRelease,IP address,activeSyncMode,activeTimeSource,selectedSyncInput,actOperatorQCI,QCIop_listId,QCIop_qci,QCIop_lteNrDualConnectSupport,QCIop_prio,QCIop_schedulWeight,RANtype,LAR,LARport,Sub-Module_RF-Module,Total Shaper Information Rate - sirTotal (Mbps),Lat,Lon,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Dump_Date,Dump_NRCEL
514998,草屯坪頂,草屯坪頂,行動中區營運處,南投營運中心,南投基維股,南投縣,草屯鎮,onAir [5],1,s2/3,草屯坪頂,S033_002_011,0+2+3,Flexi_RRH,1,5414998,n78,onAir,2_3,19_18,2_3,19_18,2,a033_011,1_78,-90_-110,1750,0,none  [0],ASIB,1*ABIA,3*FHEB+2*FHDB,Outdoor,SBTS22R1,SBTS22R1_1.0MP,10.218.143.162,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,1*ABIA+3*FHEB+2*FHDB,2500,23.96891,120.74551,,,,,,,,,,,,,,,44778.73249,44778.80398
514999,名間濁水,名間濁水,行動中區營運處,南投營運中心,南投基維股,南投縣,名間鄉,onAir [5],1,s1/2/3,名間濁水,S444_555_333_222_111,5+5+5,Flexi_RRH,1,5414999,n78,onAir,1_2_3,304_303_305,1_2_3,304_303_305,3,a444_333_111,1_78,-90_-110,1750,0,none  [0],ASIB,2*ABIA,3*FRHG+3*FHEL+3*FHDB,Outdoor,SBTS22R1,SBTS22R1_1.0.3,10.218.124.74,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,C-RAN,NTMC_NAR01_R3M4R,NTMC_NAR01_R2/1/3/4,2*ABIA+3*FRHG+3*FHEL+3*FHDB,10000,23.83539,120.70358,,,,,,,,,,,,,,,44778.73249,44778.80398
515000,竹山桂林,竹山桂林,行動中區營運處,南投營運中心,南投基維股,南投縣,竹山鎮,onAir [5],1,s1/3,竹山桂林,S303_101,2+0+2,Flexi_RRH,0,,,,,,1_3,287_285,2,,,,,1,UTRAN-EUTRA  [1],FSMF,1*FBBC,2*FHEB+2*FHDB,Outdoor,FL18SP,FL18SP_5.1.2,10.128.14.135,FreqSync [0],Ntp[5],MasterSMOD[6],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR491,,1*FBBC+2*FHEB+2*FHDB,300,23.74667,120.70204,,,,,,,,,,,,,,,44778.73249,
515001,竹山福興,南投竹山L19竹山德興,行動中區營運處,南投營運中心,南投基維股,南投縣,竹山鎮,onAir [5],2,s1/2_s4/5/6,南投竹山L19竹山福興___南投竹山L19竹山德興,S040004_050000_330333_020002_110111,2+5+0+2+2+4,Flexi,1,5415001,n78,onAir,1_2_4_5_6,344_343_44_43_42,1_2_4_5_6,344_343_44_43_42,5,a040004_330333_110111,78_1,-110_-90,1750,0,none  [0],ASIA,3*ABIA,2*FRHG+2*FHEL+3*FHEB+3*FHDB+2*FXDB,Outdoor,SBTS22R1,SBTS22R1_1.0.3,10.222.12.18,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,C-RAN,NTCS_NAR02_R6M2L,NTCS_NAR02_R5/1/1/2,3*ABIA+2*FRHG+2*FHEL+3*FHEB+3*FHDB+2*FXDB,10000,23.72356,120.65465,23.741683,120.671346,,,,,,,,,,,,,44778.73249,44778.80398
515002,仁愛東眼山,仁愛東眼山,行動中區營運處,南投營運中心,埔里基維股,南投縣,仁愛鄉,onAir [5],1,s1/2/3,仁愛東眼山,S333_111,2+2+2,Flexi,0,,,,,,1_2_3,77_76_75,3,,,,,1,UTRAN-EUTRA  [1],FSMF+FSME,1*FBBA,2*FXEB+2*FXDB,Outdoor,FL18SP,FL18SP_5.1.1,10.128.11.89,LoosePhaseAndTimeSync [2],Ntp[5],MasterSMOD[6],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR491,,1*FBBA+2*FXEB+2*FXDB,300,24.04281,121.12582,,,,,,,,,,,,,,,44778.73249,
515003,草屯平林,草屯平林,行動中區營運處,南投營運中心,南投基維股,南投縣,草屯鎮,onAir [5],1,s1/2/3,草屯平林,S044_055_333_111,2+4+4,Flexi_RRH,1,5415003,n1,onAir,1_2_3,365_364_363,1_2_3,365_364_363,3,a044_333_111,1,-90,1750,0,none  [0],ASIA,2*ABIA,2*FRHG+2*FHEL+1*FHEB+3*FHDB,Outdoor,SBTS22R1,SBTS22R1_1.0.3,10.218.142.10,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,2*ABIA+2*FRHG+2*FHEL+1*FHEB+3*FHDB,1000,23.98488,120.77464,,,,,,,,,,,,,,,44778.73249,44778.80398
515005,水里上安,水里上安,行動中區營運處,南投營運中心,埔里基維股,南投縣,水里鄉,onAir [5],2,s1/2/3_s4,水里上安___水里三部六路RH4,S0040_0050_3330_0020_1111,2+2+5+1,Flexi_RRH,1,5415005,n78,onAir,3,294,1_2_3_4,296_295_294_329,4,a004000_333000_111100,1_78,-90_-110,1750,0,none  [0],ASIA,2*ABIA,1*FRHG+1*FHEL+2*FHEB+4*FHDB,Outdoor,SBTS22R1,SBTS22R1_1.0.3,10.218.165.210,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,2*ABIA+1*FRHG+1*FHEL+2*FHEB+4*FHDB,2500,23.73303,120.85546,23.724,120.867,,,,,,,,,,,,,44778.73249,44778.80398
515006,名間藍口店,名間藍口店,行動中區營運處,南投營運中心,南投基維股,南投縣,名間鄉,onAir [5],1,s2/3,名間藍口店,S040_050_033_020_011,0+5+2,Flexi_RRH,1,5415006,n78+n1,configured,2_3,81_83,2_3,81_83,2,a040_033_011,1_78,-110_-110,1750,0,none  [0],ASIB,2*ABIA,1*FRHG+1*FHEL+1*FHEB+2*FHDB,Outdoor,SBTS22R1,SBTS22R1_1.0MP,10.218.165.66,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,2*ABIA+1*FRHG+1*FHEL+1*FHEB+2*FHDB,2500,23.86342,120.638213,,,,,,,,,,,,,,,44778.73249,44778.80398
515007,仁愛關頭山,仁愛關頭山,行動中區營運處,南投營運中心,埔里基維股,南投縣,仁愛鄉,onAir [5],1,s1/2/3,仁愛關頭山,S333_111,2+2+2,Flexi,0,,,,,,1_2_3,293_292_291,3,,,,,1,UTRAN-EUTRA  [1],FSMF+FSMF,1*FBBC,3*FHEB+2*FXDB,Outdoor,FL18SP,FL18SP_5.1.2,10.128.10.143,FreqSync [0],Ntp[5],MasterSMOD[6],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR491,,1*FBBC+3*FHEB+2*FXDB,300,23.98829,121.10263,,,,,,,,,,,,,,,44778.73249,
515008,信義潭南,信義潭南,行動中區營運處,南投營運中心,埔里基維股,南投縣,信義鄉,onAir [5],1,s1/2,信義潭南,S040_050_330_220_110,3+5+0,Flexi_RRH,1,5415008,n78,onAir,1_2,84_85,1_2,84_85,2,a040_330_110,78_1,-110_-90,1750,0,none  [0],ASIB,2*ABIA,2*FHEL+2*FHDB+1*AHHB,Outdoor,SBTS22R1,SBTS22R1_1.0MP,10.218.164.186,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,2*ABIA+2*FHEL+2*FHDB+1*AHHB,2500,23.823118,120.94151,,,,,,,,,,,,,,,44778.73249,44778.80398
